Variavel,ID,Descricao
Votante,719,Leonardo Quintão
Votante,720,Lídice da Mata
Votante,721,Lira Maia
Votante,722,Lucenira Pimentel
Votante,723,Luciana Costa
Votante,724,Lúcio Vale
Votante,725,Luiz Carlos Busato
Votante,726,Luiz Carlos Setim
Votante,727,Luiz Fernando Faria
Votante,728,Luiz Paulo Vellozo Lucas
Votante,729,Manoel Junior
Votante,730,Manuela D`Ávila
Votante,731,Marcelo Itagiba
Votante,732,Marcos Antonio
Votante,733,Marcos Montes
Votante,734,Mauro Nazif
Votante,735,Miguel Corrêa
Votante,736,Miguel Martini
Votante,737,Moises Avelino
Votante,738,Moreira Mendes
Votante,739,Neilton Mulim
Votante,740,Osmar Júnior
Votante,741,Pastor Manoel Ferreira
Votante,742,Paulo Abi-Ackel
Votante,743,Paulo Bornhausen
Votante,744,Paulo Henrique Lustosa
Votante,745,Paulo Maluf
Votante,746,Paulo Pereira da Silva
Votante,747,Paulo Piau
Votante,748,Paulo Roberto Pereira
Votante,749,Pedro Wilson
Votante,750,Pepe Vargas
Votante,751,Pinto Itamaraty
Votante,752,Professor Setimo
Votante,753,Professor Victório Galli
Votante,754,Regis de Oliveira
Votante,755,Reinaldo Nogueira
Votante,756,Renato Amary
Votante,757,Renato Molling
Votante,758,Ricardo Tripoli
Votante,759,Roberto Britto
Votante,760,Roberto Santiago
Votante,761,Rodovalho
Votante,762,Rodrigo de Castro
Votante,763,Rodrigo Rollemberg
Votante,764,Rogério Marinho
Votante,765,Rômulo Gouveia
Votante,766,Sabino Castelo Branco
Votante,767,Sérgio Barradas Carneiro
Votante,768,Sérgio Brito
Votante,769,Sérgio Moraes
Votante,770,Silvinho Peccioli
Votante,771,Silvio Costa
Votante,772,Solange Almeida
Votante,773,Solange Amaral
Votante,774,Suely
Votante,775,Urzeni Rocha
Votante,776,Valadares Filho
Votante,777,Valtenir Pereira
Votante,778,Vanderlei Macris
Votante,779,Veloso
Votante,780,Vicentinho Alves
Votante,781,Vieira da Cunha
Votante,782,Vilson Covatti
