id,votacao,alpha
230,3459,-0.0024152144
231,3460,-0.012612429
232,3463,-0.0001369538
233,3469,-0.00023761851
234,3489,-0.00022808276
235,3508,-0.0012914763
236,3510,4.3759974e-06
237,3522,-0.0051921965
238,3533,-0.0015281343
239,3566,-0.000112058384
240,3573,-9.618593e-05
241,3576,1.8327459e-05
242,3619,-0.00016744806
243,3643,-0.00050196936
244,3647,9.787975e-05
245,3660,-0.00029245645
246,3682,0.0007773947
247,3685,-0.00061866693
248,3689,0.001629723
249,3691,0.004981331
250,3710,-0.007950666
251,3726,0.0004472414
252,3729,-0.000162629
253,3768,0.0023032818
254,3772,-0.0046515083
255,3773,-3.9947892e-05
256,3791,0.0008855953
257,3817,-0.00070808816
258,3819,7.024136e-05
259,3833,-0.00017934374
260,3846,0.00016500818
261,3847,0.00034668267
262,3853,0.0033263147
263,3857,0.002143103
264,3887,-0.00043033605
265,3892,-0.00025478966
266,3895,0.000109708344
267,3896,0.00025789026
268,3900,-0.006626262
269,3916,0.0001630542
270,3934,-5.3846343e-05
271,3944,-7.742118e-05
272,3999,-0.00027765046
273,4001,-1.4025505e-05
274,4009,5.9692793e-05
275,4029,-0.00010582835
276,4033,7.411565e-05
277,4054,0.0010416519
278,4078,0.00020743227
279,4086,-0.00012798695
280,4125,-0.0005476156
281,4163,-0.0018919659
282,4167,-0.011350763
283,4270,-0.00018186621
284,4291,-0.0028531149
285,4356,0.00042191782
286,4357,-0.0005784483
287,4364,0.0020314187
288,4372,0.00047266608
289,4375,0.0013084242
290,4391,9.8393626e-05
291,4400,-0.0008535265
292,4414,-0.0002210741
293,4424,0.0005626493
294,4425,-9.2349175e-05
295,4426,0.00020384442
296,4429,-0.00042531654
297,4430,0.00039550624
298,4478,0.00040034053
299,4568,8.229512e-06
300,4578,0.00012669752
301,4795,0.0004186255
302,42,0.00038711948
303,2,-0.0005899675
304,8,0.00010977522
305,23,-0.009673047
306,47,-9.7081655e-05
307,63,-0.0003503472
308,75,-0.0001234584
309,101,0.0006671393
310,106,-0.0046181506
311,120,-0.0008427641
312,122,-0.0023388178
313,123,0.0015363805
314,126,-0.0041878405
315,134,-0.004140914
316,146,0.00036732332
317,152,1.948278e-05
318,155,0.0002774222
319,157,-0.003410747
320,160,0.0010035698
321,164,-0.00017449868
322,171,-0.0017332684
323,175,-1.9072988e-05
324,189,-0.00016593642
325,219,0.0010276927
326,225,0.000135594
327,231,4.4801636e-05
328,233,0.0003623629
329,236,0.0015408185
330,243,-0.0026501485
331,245,0.00058843533
332,252,0.00078076654
333,259,-0.00010888173
334,274,-0.0014112359
335,299,0.002165028
336,303,-1.9410949e-05
337,304,2.9874418e-05
338,308,0.00012883083
339,313,0.0010936531
340,314,-0.0016233649
341,319,-0.00029846912
342,326,0.0013938928
343,334,-0.0023101263
344,348,-0.00040130946
345,384,6.3741085e-05
346,402,-0.0001467854
347,403,-7.3375923e-06
348,425,0.0010456798
349,445,0.00042231753
350,447,0.0011373471
351,464,-9.899938e-05
352,465,-0.0045273295
353,470,-0.00023961205
354,489,-0.0020756128
355,490,-0.00022389571
356,492,0.0007800772
357,493,0.00046463075
358,507,0.00037355587
359,526,0.0007023883
360,545,0.002027441
361,546,0.00041998277
362,548,-0.00011162694
363,561,0.00034098164
364,578,-0.00020529743
365,585,1.1255834e-06
366,587,-1.7309503e-06
367,594,0.0010258056
368,600,-0.0003061391
369,609,0.0016455391
370,613,0.00024167146
371,638,-0.00022033726
372,640,0.0022325916
373,641,-9.88487e-05
374,661,-0.0046347836
375,664,4.3400014e-05
376,666,-0.0003814134
377,677,0.0029441589
378,683,0.00017144594
379,687,-6.794014e-05
380,694,-6.985048e-05
381,709,-0.00050661847
382,714,-0.00013550404
383,726,0.0024873172
384,727,2.5405912e-05
385,733,-0.00036540267
386,740,-0.00083248795
387,755,8.278574e-05
388,761,-0.00059189356
389,767,-0.0005255616
390,778,8.37403e-05
391,785,-2.1476888e-05
392,792,-0.0007588427
393,813,4.8803373e-05
394,829,0.00069664227
395,830,0.00060351024
396,833,0.00014198484
397,842,-2.7874528e-05
398,849,0.0004634779
399,864,0.0007802771
400,894,0.0005884129
401,912,0.00037990592
402,913,-0.00042903196
403,928,-0.0002595733
404,939,4.949732e-05
405,941,-0.00046251673
406,948,0.0013635067
407,956,-8.001543e-05
408,958,0.00042084683
409,960,-0.0005454531
410,966,0.00093395764
411,974,-8.532852e-05
412,994,0.0016209966
413,1034,-0.0011131497
414,1037,0.0008690733
415,1040,0.0015164446
416,1067,-0.007877043
417,1072,-0.0016681887
418,1073,-1.0540436e-05
419,1098,0.0011519764
