id,votacao,alpha,dim_lat1,dim_lat2
342,382688-99,-0.7536543,0.5732156,0.22434434
343,382708-110,-0.5320819,-0.10937789,0.18681204
344,382708-93,-0.12346486,-0.28075415,0.41071016
345,382725-97,0.008461463,0.30862638,-0.2837081
346,383657-93,0.029636977,0.9103735,0.10948769
347,384554-74,-0.018432695,-1.5246432,0.63923687
348,388308-65,-0.6507145,-0.9778737,0.22475903
349,391163-36,0.0050732377,1.3949168,-0.46661356
350,391163-52,-0.008981898,-1.1638635,-0.07519884
351,391163-64,-0.008981462,1.2790099,0.44291595
352,391163-75,-0.00021185611,2.1125774,0.30161
353,391163-86,-0.0060260165,-1.8308123,0.5802609
354,392908-35,-0.0015408297,-1.3471826,-0.030521892
355,392908-60,1.0981521e-05,1.8308632,-0.18043415
356,392908-82,0.036354706,1.6391195,-0.12905021
357,394079-102,0.0011499354,1.1000317,0.43972212
358,394079-127,0.06815737,1.2050623,-0.49930552
359,394079-140,1.6928428,1.2192187,-0.42504892
360,394079-150,-1.2978243,-1.1613479,0.49524128
361,394079-156,-0.006168635,-0.6997861,0.11659602
362,394079-192,0.0049673347,2.1990612,-0.38257807
363,394079-195,-1.0091983,-1.2085453,0.46975568
364,394079-55,0.0010681449,1.0822111,0.3150189
365,394079-73,-0.018015206,-1.1676598,0.29251513
366,394079-80,0.026064,1.2213477,-0.009820201
367,394100-47,0.0033675279,2.4197173,-0.7702762
368,394104-98,-0.0076895757,1.7219273,-0.23150225
369,394947-104,-0.0014049575,1.6926842,-0.06654671
370,394947-54,-0.0044506416,-1.0310607,-0.38907143
371,394947-81,-0.0011378961,1.6345156,0.38229647
372,396987-124,0.44328392,0.26103538,-0.7770316
373,396987-131,0.38496637,-1.036553,-0.6987773
374,396987-95,0.0012624463,1.4080906,-0.3181122
375,398628-60,0.007093506,1.7199122,-0.3132869
376,402373-55,-0.017370796,1.1966403,-0.038332436
377,402378-65,1.6771366e-05,1.2920376,0.23914774
378,402378-77,0.0023011756,2.7117417,-0.5671475
379,402378-97,-3.7927748e-06,4.8202558,0.19761898
380,403395-126,0.0068028267,4.306122,-0.046791684
381,403395-164,-0.010047943,-1.2840464,0.6030389
382,403395-85,0.002083945,2.0005145,0.42685694
383,403395-93,-0.0003368813,1.7734257,-0.13163985
384,408452-117,-9.966532e-06,1.8089023,0.2194357
385,413095-63,0.002289515,-2.5477195,0.918909
386,413095-70,3.2431097e-05,-2.518122,1.027352
387,415049-31,-0.84360665,0.5287351,-0.41705385
388,415049-45,0.002440236,-1.1738973,-0.26985708
389,415049-51,-0.0046322965,0.90691936,0.17743865
390,415049-66,7.80546e-06,2.4385521,0.013955453
391,421658-5,0.0026535133,-3.1495364,-0.9251271
392,421658-7,0.00980815,-2.9223175,-0.3070438
393,112893-218,-0.032478336,-0.27562872,-0.16948077
394,112893-225,0.47790307,-0.3597623,-0.34040508
395,114145-58,0.024604885,-1.2984288,-0.8177768
396,14271-84,1.0087805,-0.40796557,-0.2749183
397,15471-155,0.32130823,0.50645965,0.22263768
398,18454-92,-0.0042801662,0.5546584,0.33391398
399,290450-52,1.7011634,0.06748319,0.20509636
400,290450-54,-1.7645733,0.013417615,-0.09871891
401,307814-70,-0.00018330007,-3.1966684,-1.3091469
402,307814-85,0.00084434595,-1.2683475,-0.7144192
403,339409-144,-0.023546811,-0.1496059,-0.32425603
404,339977-66,-0.007526769,-1.2631959,-0.8346741
405,345552-78,-0.02323028,0.92197204,0.47240546
406,345552-88,-0.0077336878,-2.9159224,-0.8671233
407,345552-93,-0.26928613,0.630669,-0.29718772
408,361442-144,-0.10089751,-0.31321257,0.060560934
409,370193-6,0.021556154,-1.0665387,-0.29943594
410,378478-161,0.008934604,1.4359826,0.38627
411,378478-172,0.00023880097,-0.9773975,-0.012161628
412,378478-213,0.016143218,3.1702218,-0.29598507
413,378478-223,-0.00012601813,-0.8649847,0.4257799
414,378478-232,0.002763826,1.13619,-0.31233642
415,378478-242,-0.006602304,1.3018576,-0.44295973
416,384772-5,0.013087942,-1.7351942,-0.5086165
417,403508-95,-0.015386148,-1.1587275,0.310607
418,403997-6,-0.009702447,-1.7578943,-1.2519596
419,406183-14,0.012851033,-2.5782516,-0.6271681
420,412236-104,0.54167277,0.17463158,-0.376422
421,416057-86,0.00016490924,2.209354,-0.16721462
422,416057-90,-0.009045853,0.4162792,-1.2108188
423,416057-93,-0.3442197,0.0024483365,-0.4110702
424,416531-9,0.46480605,-0.35587013,-0.07418569
425,419290-65,0.011836829,1.1103657,-0.2956413
426,419290-71,-1.8520805e-05,1.4494879,-0.35387108
427,419290-80,0.0027788342,0.82960564,0.09362364
428,420066-66,0.0009274987,1.4571103,-0.5052109
429,420746-108,-2.873904e-05,1.6735066,-0.24014242
430,420746-123,2.328203,0.8172307,0.16763991
431,420746-129,-0.022521308,-1.043902,0.28610674
432,420746-62,-0.0074500022,1.0942898,0.07111428
433,420746-81,-0.030597344,-1.3574026,0.670049
434,422455-79,-0.112649,-1.3638362,0.7156717
435,422455-92,-0.24887644,-1.231035,0.6683156
436,422643-94,-0.0070634456,1.0013882,0.071151786
437,422683-100,0.0012398174,1.4210296,0.8318494
438,422683-129,-0.00012371705,2.1260254,1.1238298
439,422684-88,0.9296204,0.9628409,-0.40371054
440,423427-100,-0.011115723,-1.8534691,-0.6703761
441,423427-110,0.010459609,1.2941705,-0.8799143
442,423427-147,-0.024414692,-1.3165252,1.0700905
443,423427-82,-0.00957419,2.243545,-0.34341958
444,423428-126,0.014046042,-1.1521975,0.70908034
445,423428-129,0.12876643,-1.021194,0.45923898
446,423428-137,-0.36140513,0.68858117,-0.34136632
447,423428-142,0.018847855,-1.332536,0.9651775
448,423428-91,0.0036050826,1.3029383,-0.3391838
449,423580-6,-0.0061427043,-1.921716,-0.6036468
450,423585-62,0.0071320594,-1.575998,-1.1764767
451,428043-85,-1.1764416,-0.092048675,-0.62650913
452,428250-112,0.00023194856,0.8231332,-0.77276593
453,428250-125,-0.022171559,-1.1707153,0.6201266
454,428250-162,-0.00034367805,0.54786414,0.50166017
455,428250-189,0.01371704,0.8959222,0.86614895
456,428250-200,-1.0327348,-0.0831154,-0.5522616
457,428250-71,-0.0005550028,1.9120773,0.34190136
458,428250-93,-1.2605213,-0.9703573,0.18308645
459,430472-108,-0.0013614185,-0.2798141,-0.22945209
460,430472-85,-0.008630158,-0.3039917,-0.22062406
461,431536-5,0.0036103732,-3.5418823,-1.037079
462,434563-110,1.8097037,0.10094766,-0.6426641
463,434563-185,-0.103107125,-0.5174171,-0.009242397
464,434563-74,-3.363607,-0.3841771,-0.39574575
465,434563-87,-2.662956,-0.4375019,-0.44981372
466,434938-122,0.011656404,-1.2399027,0.17940587
467,434938-133,-0.009131681,-1.7047892,0.69283676
468,436198-9,0.46560225,-0.24981633,-0.119078234
469,437378-16,0.0005052284,-1.705999,0.58702886
470,438197-76,1.9048427,0.8325493,0.08531315
471,438942-12,0.009449252,-0.99746984,-0.6021984
472,439736-22,0.16723378,-0.94315225,0.0003989437
473,440177-118,0.008141563,0.3107196,-0.61256856
474,440177-163,-2.1079748,-0.80416304,-0.07254776
475,440177-43,-0.0013192086,1.418897,-0.3448671
476,440177-53,0.017416613,1.4346336,-0.17961618
477,440177-65,3.2385105e-05,-2.3510818,-0.078721695
478,440269-157,0.010651532,0.93192196,0.068650156
479,440269-72,1.6886199,0.3609747,0.33546898
480,440269-73,0.30948475,0.40729073,0.3435614
481,440269-76,-2.1292107,-0.11077134,-0.1014363
482,440269-79,-0.3677065,-0.01904144,0.1702458
483,440269-88,-0.009940377,0.14870855,-0.028144838
484,440269-92,-2.5168343,-0.2076499,-0.30922273
485,440269-94,-0.7769066,0.11525568,0.031281866
486,440274-5,-8.165228e-05,-2.6880562,-1.5697694
487,440517-13,0.018713998,-0.61477304,-1.1262822
488,441341-10,-0.0076336893,-1.1008744,-0.5160019
489,443158-105,0.7831535,1.0780226,-0.35854575
490,443158-140,-0.0007079466,1.1606932,0.28943875
491,443158-147,0.008618004,2.268351,-0.10880853
492,443158-158,0.011462764,-1.2999957,0.31759694
493,443158-205,-0.97364473,-1.6371409,0.57640207
494,443158-92,0.64542705,1.2817656,-0.71456116
495,443247-5,0.014761907,-3.0627742,-1.0367283
496,445427-89,1.468683,0.50406516,-0.31555057
497,446738-5,-0.018609753,-0.9178201,-0.9273808
498,447734-66,-0.004081185,-2.1551359,1.0814899
499,447935-106,-0.029826852,1.1933155,0.012722575
500,447935-121,-0.0052688206,-1.9300151,0.46632728
501,447935-142,-0.6965185,-1.7752479,0.56986487
502,447935-79,4.3650223e-05,1.9486781,1.4643369
503,447935-83,-0.009224143,0.90352684,0.38450855
504,453801-40,-0.00058854464,1.9150226,1.4479363
505,453801-55,0.004895484,0.8735491,0.40683568
506,453801-69,-0.0007337829,1.0802602,0.18355852
507,453801-81,-0.0023445997,1.2154056,0.5338523
508,453801-89,-0.001998785,1.1130722,-0.22416814
509,454911-100,-0.000109864246,1.5901763,0.38062233
510,454911-118,8.89166e-05,-1.564844,0.059446853
511,454911-132,-1.3755955e-05,2.4270957,1.2549465
