id,votante,alpha,dim_lat1,dim_lat2
216,Júlio Redecker,0.001411214,0.22186156,-2.4079864
217,Julio Semeghini,0.001487271,-0.05297311,-3.0799565
218,Juquinha,1.4288427e-05,1.2788654e-05,-0.37535453
219,Jurandil Juarez,-0.0037710825,-1.7311934,0.28274193
220,Jutahy Junior,-0.15267503,0.943363,-1.5287168
221,Kátia Abreu,0.0036643068,2.2679083,-2.343475
222,Kincas Mattos,5.0098697e-06,-0.012727156,0.094155915
223,Lael Varella,-0.37918857,-4.3576345,0.5927675
224,Laíre Rosado,4.372235e-05,2.7092083e-05,-0.69316554
225,Laura Carneiro,0.013726868,-0.7818879,0.36390027
226,Lavoisier Maia,9.527329e-06,-3.150264,-0.5318927
227,Léo Alcântara,0.025888583,-0.3929258,-3.1129985
228,Lidia Quinan,-2.950758e-05,-7.1931026e-07,-0.38087067
229,Lincoln Portela,-0.15289283,0.1100294,0.6041808
230,Luci Choinacki,-0.00149973,-1.8077531,1.2759079
231,Lúcia Vânia,-0.00016675693,-0.0034956709,-1.2222384
232,Luciano Bivar,0.30153182,-0.35150737,-0.28056765
233,Luciano Castro,-0.0063812654,-0.9596928,-0.05516674
234,Luciano Pizzatto,0.013003126,-0.08652082,-2.235469
235,Luciano Zica,-0.009065058,-1.3240587,0.033259742
236,Luis Barbosa,0.00018854583,-0.0196255,-0.9846559
237,Luisinho,-6.540321e-06,-0.45388195,-0.70867693
238,Luiz Alberto,-0.000299267,-0.01633998,1.4584869
239,Luiz Antonio Fleury,0.047991205,-3.0981271,0.09173249
240,Luiz Bittencourt,-0.015238528,-1.412698,-0.7927153
241,Luiz Carlos Hauly,-0.11432552,0.48822767,-0.69005924
242,Luiz Dantas,-0.019870132,-2.2138534,-0.8611716
243,Luiz Eduardo Greenhalgh,0.00016013393,-4.666567,-1.1415766
244,Dr. Luiz Fernando,0.0049261055,-0.28363127,-2.2572103
245,Luiz Moreira,-0.000110604844,-0.010143378,-0.75731647
246,Luiz Piauhylino,0.02594679,0.012975948,-2.7901583
247,Luiz Ribeiro,-5.6404555e-05,-0.028154492,-1.5533777
248,Luiz Sérgio,0.40446097,-1.650176,0.410038
249,Luiza Erundina,-0.2995323,0.2370949,0.944296
250,Magno Malta,3.400029e-05,-3.1816448e-06,1.043434
251,Manoel Salviano,0.09768439,-0.8787946,-1.7619432
252,Manoel Vitório,-2.8208888e-06,-0.5464134,-0.79409504
253,Marçal Filho,-0.0009524187,-0.85563767,-2.3890803
254,Marcelo Barbieri,0.00031088755,-1.3475125,1.0738189
255,Marcelo Teixeira,0.0017573554,-0.6503539,-2.0010262
256,Márcio Bittar,0.00017521754,1.1347175,-1.8125075
257,Márcio Fortes,-0.00042060914,0.8803588,-1.876998
