id,votacao,alpha,dim_latente
475,Vote 476,0.47054595,1.3851773
476,Vote 477,3.207529,-0.401494
477,Vote 478,-2.5458798,-0.21880431
478,Vote 479,2.7496345,-0.12576935
479,Vote 480,-0.40902478,-1.3135235
480,Vote 481,1.3624383,-0.15076856
481,Vote 482,-0.38198307,0.6313296
482,Vote 483,3.1438868,-0.32072106
483,Vote 484,-2.0345118,1.2019215
484,Vote 485,1.3638707,3.5360713
485,Vote 486,1.3363365,1.4080467
486,Vote 487,-1.7819476,-0.12647922
487,Vote 488,5.564644,-0.5635945
488,Vote 489,1.7043895,1.0998504
489,Vote 490,1.0966516,0.6306661
490,Vote 491,5.3600516,-0.67227536
491,Vote 492,-1.4744751,0.06955677
492,Vote 493,5.5023007,-0.6112207
493,Vote 494,-1.0884252,-0.9119343
494,Vote 495,-0.81471205,-0.22496575
495,Vote 496,-1.1721553,-0.2437792
496,Vote 497,0.113503866,0.264618
497,Vote 498,-0.22198804,2.62971
498,Vote 499,3.1755168,-0.33838308
499,Vote 500,5.629304,-0.5445195
500,Vote 501,-0.22390865,0.37540326
501,Vote 502,0.11445686,0.5205939
502,Vote 503,0.009126563,0.3129953
503,Vote 504,-1.023438,-0.22153237
504,Vote 505,-0.6994094,-0.07981855
505,Vote 506,-1.99632,-0.6605996
506,Vote 507,0.3176498,-0.55888844
507,Vote 508,0.23268563,-0.33838907
508,Vote 509,0.13623656,0.79863864
509,Vote 510,2.6694684,-1.0841837
510,Vote 511,1.1153924,-1.1183989
511,Vote 512,1.5798769,-1.1874213
512,Vote 513,3.4703798,-1.8885905
513,Vote 514,-1.1787317,-0.9872994
514,Vote 515,1.3585616,1.6260418
515,Vote 516,0.20794384,1.1001971
516,Vote 517,0.1444487,-1.255982
517,Vote 518,-0.8293208,-0.733658
518,Vote 519,-1.0069269,-0.988737
519,Vote 520,0.08277223,0.9068926
520,Vote 521,0.8985692,-1.6262654
521,Vote 522,0.035277437,-1.886499
522,Vote 523,5.1356015,-0.7726025
523,Vote 524,1.7803034,-0.13386528
524,Vote 525,1.1233715,-0.6896018
525,Vote 526,-0.66959435,-1.0645493
526,Vote 527,0.050172675,-1.1976594
527,Vote 528,1.3061997,0.94580775
528,Vote 529,-2.3119025,-0.66053236
529,Vote 530,-2.2637866,-0.43376842
530,Vote 531,-0.063110486,0.4527498
531,Vote 532,-3.0827756e-05,1.9816674e-05
532,Vote 533,1.1336066e-05,7.188949e-05
533,Vote 534,-1.183241e-05,2.8936462e-05
534,Vote 535,-4.6269633e-06,3.5399e-05
535,Vote 536,-5.318012e-06,9.815863e-05
536,Vote 537,-5.0258335e-05,4.9402257e-05
537,Vote 538,-0.00012560273,4.791713e-06
538,Vote 539,9.177356e-05,-2.5071917e-05
539,Vote 540,2.6057778e-06,4.953715e-05
540,Vote 541,7.128359e-05,5.740721e-05
541,Vote 542,-0.00017680712,-6.277603e-05
542,Vote 543,-0.00016042888,-3.538956e-05
543,Vote 544,-0.00016175295,2.5170684e-05
544,Vote 545,-2.661711e-05,3.218216e-05
545,Vote 546,2.9034927e-06,-9.249641e-05
546,Vote 547,-1.0223906e-05,-0.00016009889
547,Vote 548,0.00011827909,4.942767e-05
548,Vote 549,-7.5651726e-05,-4.040822e-05
549,Vote 550,-6.6024695e-05,2.5650568e-05
550,Vote 551,-0.0001355036,-7.340914e-05
551,Vote 552,6.495946e-05,0.00017285407
552,Vote 553,-7.3693096e-05,5.8511163e-05
553,Vote 554,-5.6247995e-05,1.221845e-05
554,Vote 555,2.878962e-05,-0.00012642701
555,Vote 556,-1.7600922e-05,-1.9087449e-05
556,Vote 557,-2.3994226e-05,4.605412e-05
557,Vote 558,7.2378607e-06,-3.4739314e-06
558,Vote 559,-0.00014193176,-6.755705e-05
559,Vote 560,1.0349311e-05,6.109656e-05
560,Vote 561,-6.643575e-05,7.026157e-05
561,Vote 562,-9.770425e-05,9.382102e-05
562,Vote 563,5.1170453e-05,-8.329698e-06
563,Vote 564,8.5432664e-05,-6.0597304e-06
564,Vote 565,5.3273143e-06,9.252987e-05
565,Vote 566,0.00010604068,-3.240969e-05
566,Vote 567,-4.5237084e-05,-7.714691e-06
567,Vote 568,-8.105689e-05,-1.8679042e-05
568,Vote 569,-5.912122e-05,6.599286e-05
569,Vote 570,5.5803146e-05,6.610906e-06
570,Vote 571,1.1549884e-05,0.00012439
571,Vote 572,-2.2933069e-05,2.7788166e-05
572,Vote 573,8.536177e-06,-3.710854e-05
573,Vote 574,9.504211e-05,-1.73191e-05
574,Vote 575,5.7566e-05,1.246528e-06
575,Vote 576,-4.6788526e-05,-8.1025973e-07
576,Vote 577,4.321146e-05,3.4036522e-05
577,Vote 578,-8.088507e-05,6.829799e-05
578,Vote 579,-2.9165167e-05,-5.6663015e-05
579,Vote 580,8.927692e-05,0.00018060014
580,Vote 581,9.080577e-06,6.821615e-05
581,Vote 582,-4.715073e-05,4.427206e-05
582,Vote 583,5.3818047e-05,-8.542302e-05
583,Vote 584,-0.00012563136,4.285983e-05
584,Vote 585,-2.7099832e-05,-0.0001332569
585,Vote 586,9.050149e-05,7.8261364e-05
586,Vote 587,1.927721e-05,1.4905956e-05
587,Vote 588,4.2571224e-05,-8.1561055e-05
588,Vote 589,0.00011589191,1.5099786e-05
589,Vote 590,3.5522666e-05,5.1101044e-05
590,Vote 591,0.00012108943,-3.060583e-05
591,Vote 592,8.9744906e-05,5.736181e-05
592,Vote 593,2.7691978e-05,0.00015159749
593,Vote 594,-2.0521857e-05,5.462867e-05
594,Vote 595,1.5492984e-05,-3.3517033e-05
595,Vote 596,0.00013243081,6.384674e-05
